FilteredData,TimeDate,seqNumber,Amount,DispensedTotal,Status,TicketData,Type,BillCount_01_1,CoinCount_01_1,BillCount_02_2,CoinCount_02_2,BillCount_03_3,CoinCount_03_3,BillCount_04_4,CoinCount_04_4,BillCount_05_5,CoinCount_05_5,BillCount_06_6,CoinCount_06_6,JournalName
"00:10:56 402001 ' Posting: {""type"":""BillBreak"",""accountType"":""None"",""seqNumber"":""0411202500103558"",""Authorization"":{""AuthNumber"":"""",""ErrorCode"":""0"",""ErrorDescription"":""0"",""Fee"":0.0,""OrderId"":"""",""RegisterTime"":""2025-04-11T00:10:56.603-07:00"",""TransactionNumber"":411202500103558},""Operation"":{""Amount"":100.0,""BillDespensed"":100.0,""CardNumber"":""XXXX"",""HostIP"":"""",""RegistrationDatetime"":""2025-04-11T00:10:56.603-07:00"",""SequenceNumber"":""0411202500103558"",""Status"":""COMPLETED"",""TicketData"":""BB[1]     $100.0""},""TransactionDetail"":{""Amount"":100.0,""DispensedTotal"":100.0,""BillDenom_01"":1,""BillDenom_02"":5,""BillDenom_03"":10,""BillDenom_04"":20,""BillDenom_05"":50,""BillDenom_06"":100,""CoinDenom_01"":1,""CoinDenom_02"":5,""CoinDenom_03"":10,""CoinDenom_04"":25,""CoinDenom_05"":0,""CoinDenom_06"":0,""BillCount_01"":0,""BillCount_02"":0,""BillCount_03"":0,""BillCount_04"":5,""BillCount_05"":0,""BillCount_06"":0,""CoinCount_01"":0,""CoinCount_02"":0,""CoinCount_03"":0,""CoinCount_04"":0,""CoinCount_05"":0,""CoinCount_06"":0,""ManualPay"":0.0,""TransactionNumber"":0}}'",2025-04-11 00:10:56.603-07:00,0411202500103558,100.0,100.0,COMPLETED,BB[1]     $100.0,BillBreak,0,0,0,0,0,0,5,0,0,0,0,0,bills
"00:45:36 402001 ' Posting: {""type"":""BillBreak"",""accountType"":""None"",""seqNumber"":""0411202500451568"",""Authorization"":{""AuthNumber"":"""",""ErrorCode"":""0"",""ErrorDescription"":""0"",""Fee"":0.0,""OrderId"":"""",""RegisterTime"":""2025-04-11T00:45:36.935-07:00"",""TransactionNumber"":411202500451568},""Operation"":{""Amount"":100.0,""BillDespensed"":100.0,""CardNumber"":""XXXX"",""HostIP"":"""",""RegistrationDatetime"":""2025-04-11T00:45:36.935-07:00"",""SequenceNumber"":""0411202500451568"",""Status"":""COMPLETED"",""TicketData"":""BB[2]     $100.0""},""TransactionDetail"":{""Amount"":100.0,""DispensedTotal"":100.0,""BillDenom_01"":1,""BillDenom_02"":5,""BillDenom_03"":10,""BillDenom_04"":20,""BillDenom_05"":50,""BillDenom_06"":100,""CoinDenom_01"":1,""CoinDenom_02"":5,""CoinDenom_03"":10,""CoinDenom_04"":25,""CoinDenom_05"":0,""CoinDenom_06"":0,""BillCount_01"":0,""BillCount_02"":0,""BillCount_03"":0,""BillCount_04"":5,""BillCount_05"":0,""BillCount_06"":0,""CoinCount_01"":0,""CoinCount_02"":0,""CoinCount_03"":0,""CoinCount_04"":0,""CoinCount_05"":0,""CoinCount_06"":0,""ManualPay"":0.0,""TransactionNumber"":0}}'",2025-04-11 00:45:36.935-07:00,0411202500451568,100.0,100.0,COMPLETED,BB[2]     $100.0,BillBreak,0,0,0,0,0,0,5,0,0,0,0,0,bills
"00:49:56 402001 ' Posting: {""type"":""BillBreak"",""accountType"":""None"",""seqNumber"":""0411202500493702"",""Authorization"":{""AuthNumber"":"""",""ErrorCode"":""0"",""ErrorDescription"":""0"",""Fee"":0.0,""OrderId"":"""",""RegisterTime"":""2025-04-11T00:49:55.986-07:00"",""TransactionNumber"":411202500493702},""Operation"":{""Amount"":100.0,""BillDespensed"":100.0,""CardNumber"":""XXXX"",""HostIP"":"""",""RegistrationDatetime"":""2025-04-11T00:49:55.986-07:00"",""SequenceNumber"":""0411202500493702"",""Status"":""COMPLETED"",""TicketData"":""BB[2]     $100.0""},""TransactionDetail"":{""Amount"":100.0,""DispensedTotal"":100.0,""BillDenom_01"":1,""BillDenom_02"":5,""BillDenom_03"":10,""BillDenom_04"":20,""BillDenom_05"":50,""BillDenom_06"":100,""CoinDenom_01"":1,""CoinDenom_02"":5,""CoinDenom_03"":10,""CoinDenom_04"":25,""CoinDenom_05"":0,""CoinDenom_06"":0,""BillCount_01"":0,""BillCount_02"":0,""BillCount_03"":0,""BillCount_04"":5,""BillCount_05"":0,""BillCount_06"":0,""CoinCount_01"":0,""CoinCount_02"":0,""CoinCount_03"":0,""CoinCount_04"":0,""CoinCount_05"":0,""CoinCount_06"":0,""ManualPay"":0.0,""TransactionNumber"":0}}'",2025-04-11 00:49:55.986-07:00,0411202500493702,100.0,100.0,COMPLETED,BB[2]     $100.0,BillBreak,0,0,0,0,0,0,5,0,0,0,0,0,bills
"00:56:56 402001 ' Posting: {""type"":""BillBreak"",""accountType"":""None"",""seqNumber"":""0411202500563619"",""Authorization"":{""AuthNumber"":"""",""ErrorCode"":""0"",""ErrorDescription"":""0"",""Fee"":0.0,""OrderId"":"""",""RegisterTime"":""2025-04-11T00:56:56.528-07:00"",""TransactionNumber"":411202500563619},""Operation"":{""Amount"":100.0,""BillDespensed"":100.0,""CardNumber"":""XXXX"",""HostIP"":"""",""RegistrationDatetime"":""2025-04-11T00:56:56.528-07:00"",""SequenceNumber"":""0411202500563619"",""Status"":""COMPLETED"",""TicketData"":""BB[2]     $100.0""},""TransactionDetail"":{""Amount"":100.0,""DispensedTotal"":100.0,""BillDenom_01"":1,""BillDenom_02"":5,""BillDenom_03"":10,""BillDenom_04"":20,""BillDenom_05"":50,""BillDenom_06"":100,""CoinDenom_01"":1,""CoinDenom_02"":5,""CoinDenom_03"":10,""CoinDenom_04"":25,""CoinDenom_05"":0,""CoinDenom_06"":0,""BillCount_01"":0,""BillCount_02"":0,""BillCount_03"":0,""BillCount_04"":5,""BillCount_05"":0,""BillCount_06"":0,""CoinCount_01"":0,""CoinCount_02"":0,""CoinCount_03"":0,""CoinCount_04"":0,""CoinCount_05"":0,""CoinCount_06"":0,""ManualPay"":0.0,""TransactionNumber"":0}}'",2025-04-11 00:56:56.528-07:00,0411202500563619,100.0,100.0,COMPLETED,BB[2]     $100.0,BillBreak,0,0,0,0,0,0,5,0,0,0,0,0,bills
"01:00:02 402001 ' Posting: {""type"":""BillBreak"",""accountType"":""None"",""seqNumber"":""0411202500594583"",""Authorization"":{""AuthNumber"":"""",""ErrorCode"":""0"",""ErrorDescription"":""0"",""Fee"":0.0,""OrderId"":"""",""RegisterTime"":""2025-04-11T01:00:02.160-07:00"",""TransactionNumber"":411202500594583},""Operation"":{""Amount"":100.0,""BillDespensed"":100.0,""CardNumber"":""XXXX"",""HostIP"":"""",""RegistrationDatetime"":""2025-04-11T01:00:02.160-07:00"",""SequenceNumber"":""0411202500594583"",""Status"":""COMPLETED"",""TicketData"":""BB[2]     $100.0""},""TransactionDetail"":{""Amount"":100.0,""DispensedTotal"":100.0,""BillDenom_01"":1,""BillDenom_02"":5,""BillDenom_03"":10,""BillDenom_04"":20,""BillDenom_05"":50,""BillDenom_06"":100,""CoinDenom_01"":1,""CoinDenom_02"":5,""CoinDenom_03"":10,""CoinDenom_04"":25,""CoinDenom_05"":0,""CoinDenom_06"":0,""BillCount_01"":0,""BillCount_02"":0,""BillCount_03"":0,""BillCount_04"":5,""BillCount_05"":0,""BillCount_06"":0,""CoinCount_01"":0,""CoinCount_02"":0,""CoinCount_03"":0,""CoinCount_04"":0,""CoinCount_05"":0,""CoinCount_06"":0,""ManualPay"":0.0,""TransactionNumber"":0}}'",2025-04-11 01:00:02.160-07:00,0411202500594583,100.0,100.0,COMPLETED,BB[2]     $100.0,BillBreak,0,0,0,0,0,0,5,0,0,0,0,0,bills
"01:25:41 402001 ' Posting: {""type"":""BillBreak"",""accountType"":""None"",""seqNumber"":""0411202501252094"",""Authorization"":{""AuthNumber"":"""",""ErrorCode"":""0"",""ErrorDescription"":""0"",""Fee"":0.0,""OrderId"":"""",""RegisterTime"":""2025-04-11T01:25:41.198-07:00"",""TransactionNumber"":411202501252094},""Operation"":{""Amount"":100.0,""BillDespensed"":100.0,""CardNumber"":""XXXX"",""HostIP"":"""",""RegistrationDatetime"":""2025-04-11T01:25:41.198-07:00"",""SequenceNumber"":""0411202501252094"",""Status"":""COMPLETED"",""TicketData"":""BB[2]     $100.0""},""TransactionDetail"":{""Amount"":100.0,""DispensedTotal"":100.0,""BillDenom_01"":1,""BillDenom_02"":5,""BillDenom_03"":10,""BillDenom_04"":20,""BillDenom_05"":50,""BillDenom_06"":100,""CoinDenom_01"":1,""CoinDenom_02"":5,""CoinDenom_03"":10,""CoinDenom_04"":25,""CoinDenom_05"":0,""CoinDenom_06"":0,""BillCount_01"":0,""BillCount_02"":0,""BillCount_03"":0,""BillCount_04"":5,""BillCount_05"":0,""BillCount_06"":0,""CoinCount_01"":0,""CoinCount_02"":0,""CoinCount_03"":0,""CoinCount_04"":0,""CoinCount_05"":0,""CoinCount_06"":0,""ManualPay"":0.0,""TransactionNumber"":0}}'",2025-04-11 01:25:41.198-07:00,0411202501252094,100.0,100.0,COMPLETED,BB[2]     $100.0,BillBreak,0,0,0,0,0,0,5,0,0,0,0,0,bills
"01:27:15 402001 ' Posting: {""type"":""BillBreak"",""accountType"":""None"",""seqNumber"":""0411202501265500"",""Authorization"":{""AuthNumber"":"""",""ErrorCode"":""0"",""ErrorDescription"":""0"",""Fee"":0.0,""OrderId"":"""",""RegisterTime"":""2025-04-11T01:27:15.658-07:00"",""TransactionNumber"":411202501265500},""Operation"":{""Amount"":100.0,""BillDespensed"":100.0,""CardNumber"":""XXXX"",""HostIP"":"""",""RegistrationDatetime"":""2025-04-11T01:27:15.658-07:00"",""SequenceNumber"":""0411202501265500"",""Status"":""COMPLETED"",""TicketData"":""BB[2]     $100.0""},""TransactionDetail"":{""Amount"":100.0,""DispensedTotal"":100.0,""BillDenom_01"":1,""BillDenom_02"":5,""BillDenom_03"":10,""BillDenom_04"":20,""BillDenom_05"":50,""BillDenom_06"":100,""CoinDenom_01"":1,""CoinDenom_02"":5,""CoinDenom_03"":10,""CoinDenom_04"":25,""CoinDenom_05"":0,""CoinDenom_06"":0,""BillCount_01"":0,""BillCount_02"":0,""BillCount_03"":0,""BillCount_04"":5,""BillCount_05"":0,""BillCount_06"":0,""CoinCount_01"":0,""CoinCount_02"":0,""CoinCount_03"":0,""CoinCount_04"":0,""CoinCount_05"":0,""CoinCount_06"":0,""ManualPay"":0.0,""TransactionNumber"":0}}'",2025-04-11 01:27:15.658-07:00,0411202501265500,100.0,100.0,COMPLETED,BB[2]     $100.0,BillBreak,0,0,0,0,0,0,5,0,0,0,0,0,bills
"01:27:47 402001 ' Posting: {""type"":""BillBreak"",""accountType"":""None"",""seqNumber"":""0411202501272926"",""Authorization"":{""AuthNumber"":"""",""ErrorCode"":""0"",""ErrorDescription"":""0"",""Fee"":0.0,""OrderId"":"""",""RegisterTime"":""2025-04-11T01:27:47.777-07:00"",""TransactionNumber"":411202501272926},""Operation"":{""Amount"":100.0,""BillDespensed"":100.0,""CardNumber"":""XXXX"",""HostIP"":"""",""RegistrationDatetime"":""2025-04-11T01:27:47.777-07:00"",""SequenceNumber"":""0411202501272926"",""Status"":""COMPLETED"",""TicketData"":""BB[1]     $100.0""},""TransactionDetail"":{""Amount"":100.0,""DispensedTotal"":100.0,""BillDenom_01"":1,""BillDenom_02"":5,""BillDenom_03"":10,""BillDenom_04"":20,""BillDenom_05"":50,""BillDenom_06"":100,""CoinDenom_01"":1,""CoinDenom_02"":5,""CoinDenom_03"":10,""CoinDenom_04"":25,""CoinDenom_05"":0,""CoinDenom_06"":0,""BillCount_01"":0,""BillCount_02"":0,""BillCount_03"":0,""BillCount_04"":5,""BillCount_05"":0,""BillCount_06"":0,""CoinCount_01"":0,""CoinCount_02"":0,""CoinCount_03"":0,""CoinCount_04"":0,""CoinCount_05"":0,""CoinCount_06"":0,""ManualPay"":0.0,""TransactionNumber"":0}}'",2025-04-11 01:27:47.777-07:00,0411202501272926,100.0,100.0,COMPLETED,BB[1]     $100.0,BillBreak,0,0,0,0,0,0,5,0,0,0,0,0,bills
"01:48:30 402001 ' Posting: {""type"":""BillBreak"",""accountType"":""None"",""seqNumber"":""0411202501481244"",""Authorization"":{""AuthNumber"":"""",""ErrorCode"":""0"",""ErrorDescription"":""0"",""Fee"":0.0,""OrderId"":"""",""RegisterTime"":""2025-04-11T01:48:30.442-07:00"",""TransactionNumber"":411202501481244},""Operation"":{""Amount"":20.0,""BillDespensed"":20.0,""CardNumber"":""XXXX"",""HostIP"":"""",""RegistrationDatetime"":""2025-04-11T01:48:30.442-07:00"",""SequenceNumber"":""0411202501481244"",""Status"":""COMPLETED"",""TicketData"":""BB[2]     $20.0""},""TransactionDetail"":{""Amount"":20.0,""DispensedTotal"":20.0,""BillDenom_01"":1,""BillDenom_02"":5,""BillDenom_03"":10,""BillDenom_04"":20,""BillDenom_05"":50,""BillDenom_06"":100,""CoinDenom_01"":1,""CoinDenom_02"":5,""CoinDenom_03"":10,""CoinDenom_04"":25,""CoinDenom_05"":0,""CoinDenom_06"":0,""BillCount_01"":0,""BillCount_02"":4,""BillCount_03"":0,""BillCount_04"":0,""BillCount_05"":0,""BillCount_06"":0,""CoinCount_01"":0,""CoinCount_02"":0,""CoinCount_03"":0,""CoinCount_04"":0,""CoinCount_05"":0,""CoinCount_06"":0,""ManualPay"":0.0,""TransactionNumber"":0}}'",2025-04-11 01:48:30.442-07:00,0411202501481244,20.0,20.0,COMPLETED,BB[2]     $20.0,BillBreak,0,0,4,0,0,0,0,0,0,0,0,0,bills
"02:31:56 402001 ' Posting: {""type"":""BillBreak"",""accountType"":""None"",""seqNumber"":""0411202502313629"",""Authorization"":{""AuthNumber"":"""",""ErrorCode"":""0"",""ErrorDescription"":""0"",""Fee"":0.0,""OrderId"":"""",""RegisterTime"":""2025-04-11T02:31:56.191-07:00"",""TransactionNumber"":411202502313629},""Operation"":{""Amount"":100.0,""BillDespensed"":100.0,""CardNumber"":""XXXX"",""HostIP"":"""",""RegistrationDatetime"":""2025-04-11T02:31:56.191-07:00"",""SequenceNumber"":""0411202502313629"",""Status"":""COMPLETED"",""TicketData"":""BB[1]     $100.0""},""TransactionDetail"":{""Amount"":100.0,""DispensedTotal"":100.0,""BillDenom_01"":1,""BillDenom_02"":5,""BillDenom_03"":10,""BillDenom_04"":20,""BillDenom_05"":50,""BillDenom_06"":100,""CoinDenom_01"":1,""CoinDenom_02"":5,""CoinDenom_03"":10,""CoinDenom_04"":25,""CoinDenom_05"":0,""CoinDenom_06"":0,""BillCount_01"":0,""BillCount_02"":0,""BillCount_03"":0,""BillCount_04"":5,""BillCount_05"":0,""BillCount_06"":0,""CoinCount_01"":0,""CoinCount_02"":0,""CoinCount_03"":0,""CoinCount_04"":0,""CoinCount_05"":0,""CoinCount_06"":0,""ManualPay"":0.0,""TransactionNumber"":0}}'",2025-04-11 02:31:56.191-07:00,0411202502313629,100.0,100.0,COMPLETED,BB[1]     $100.0,BillBreak,0,0,0,0,0,0,5,0,0,0,0,0,bills
